author,title
"Gober, Dom*",Killing Ground
"Goines, Donald",Black Girl Lost
"Goines, Donald",Never Die Alone
"Goines, Donald",Kenyatta's Escape
"Goines, Donald",Cry Revenge
"Goines, Donald",Daddy Cool
"Goines, Donald",Death List
"Goines, Donald",Inner City Hoodlum
"Goines, Donald",Kenyatta's Last Hit
"Goines, Donald",Crime Partners
"Golden, Marita",A Woman's Place
"Golden, Marita",The Wide Circumference of Love
"Goodman, Charles R",The Buffalo Soldier
"Goodman, Charles R",Black Cheyenne
"Gordon, Alexia",Killing in C Sharp
"Gordon, Eugene",You're Not Alone
"Gordon, John R",Black Butterfly
"Goree, Richard A",Goree Island: Island of No Return: Saga of Signarres
"Gould, Sandra Lee",Faraday's Popcorn Factory: A Novel
"Graham, Katheryn Campbell","Under the Cottonwood: A Saga of Negro Life in Which the History, Traditions and Folklore are Vividly Portrayed"
"Grant, J. Jason",Coal
"Grant, J. Jason",Dugout Brother
"Grant, J. Jason",Bitch
"Grant, Tracy",Rightfully His
"Grant, Tracy",Hellfield
"Gray, Wade S.",Her Last Performance
"Green, Carmen",Now or Never
"Green, Carmen",Silken Love
"Green, Carmen",Keeping Secrets
"Green, Carmen",Endless Love
"Green, Carmen","Doctor, Doctor"
"Green, Carmen",Atlanta Live
"Green, Carmen",Commitments
"Green, Carmen; Hill, Donna; Janice Sims","Sister, Sister"
"Green, Joe",Superspade No 5: Bad Day For a Black Brother Johnson
"Green, Joseph",Pseudo Cool
"Green, Jossel Flowers",Twilight Moon: African American Erotica
"Green, Thomas",One Last Love
"Green, Thomas",Player No More
"Greene, Gloria",Love Unveiled
"Greene, Joe",House of Pleasure
"Greene, Joe",Superspade No. 1: Death of a Blue-Eyed Soul Brother
"Greene, Joe","Superspade No 3: That's Where the Cat's at, Baby"
"Greene, Joe",Superspade No 4: Mother of the Year
"Greene, Joe",Superspade No 6: Blues for a Slack Sister
"Greenidge, Kaitlyn","We Love You, Charlie Freeman"
"Greer, Robert O",The Devil's Hatband
"Greer, Robert O",The Devil's Red Nickel
"Greer, Robert O",The Devil's Backbone
"Greer, Robert O",Limited Time
"Greer, Robert O.",The Devil's Hatband
"Greer, Sheree L.",A Return to Arms
"Griggs, Vanessa Davis",Destiny Unlimited
"Griggs, Vanessa Davis",The Rose of Jericho: A Novel
"Griggs, Vanessa Davis",Promises Beyond Jordan
"Griggs, William M",The Megalight Connection: A Novel
"Grilley, Kate",Death Dances to a Reggae Beat
"Grimes, Terris McMahan",Somebody Else's Child
"Grimes, Terris McMahan",Blood Will Tell
"Groom, Winston",As Summers Die
"Grooms, Anthony",The Vain Conversation: A Novel
"Gross, Werter Liviingston",The Golden Recovery
"Groves, John William",Shellbreak
"Guillaume, Geri",Firm Commitments
"Guillaume, Geri",Simply Irresistable
"Guillaume, Geri",A Perfect Pair
"Guillory, Jasmine",The Wedding Date
"Guillory, Marcus J.",Red Now and Laters: A Novel
"Guisto, Layle",Wind Across Kylarmi
"Gunn, Bill",Rhinestone Sharecropping
"Gunn, Gay",Everlastin' Love
"Gunn, Gay",Nowhere to Run
"Gurley-Highgate, Hilda",Sapphire’s Grave
"Guy, Rosa",The Friends
"Guy, Rosa",A Measure of Time
"Guy, Rosa","My Love, My Love, or, The Peasant Girl"
"Guy, Rosa",And I Heard a Bird Sing
"Guy, Rosa","The Sun, the Sea, a Touch of Wind: A Novel"
"Gyasi, Yaa",Homegoing
"Hagan, Willie",The Black Tarnished Image
"Hailstock, Shirley",Clara's Promise
"Hailstock, Shirley",Whispers of Love
"Hailstock, Shirley",White Diamonds
"Hailstock, Shirley",Legacy
"Hailstock, Shirley",Mirror Image
"Hailstock, Shirley",Opposites Attract
"Hailstock, Shirley",More than Gold
"Hailstock, Shirley",His 1-800 Wife
"Hailstock, Shirley",A Family Affair
"Hailstock, Shirley",A Father’s Fortune
"Hairston, Alex",Love Don’t Come Easy
"Haley-Brown, Patricia",Nobody's Perfect
"Haley, Patricia",No Regrets
"Haley, Patricia",Blind Faith
"Hall, Calvin H.",Yesterday's Butterflies Tomorrow's Rainbows
"Hall, Rachel H.",Trail of Echoes
"Hampton, Brenda",Black President: The World Will Never Be The Same
"Hampton, Brenda M.","Naughty: Two’s Enough, Three’s a Crowd"
"Hannaham, James",Delicious Foods
"Hanson, Harvey",Game Time
"Hardwick, Gary",Cold Medina
"Hardwick, Gary",Double Dead
"Hardwick, Gary",Supreme Justice
"Hardwick, Gary",Color of Justice
"Hardy, James E",If Only for One Night
"Hardy, James Earl","B-boy Blues: A Seriously Sexy, Fiercely Funny,Black-on-Black Love Story"
"Hardy, James Earl",2nd Time Around
"Hardy, James Earl",The Day Eazy-E Died
"Hardy, James Earl",Love the One You're With: A Novel
"Harp, Oscar J.",Across Time: Love Eternal: An Adventure with Beginnings in Ancient Africa
"Harper, Frances E.W.",Iola Leroy or Shadows Lifted
"Harper, Frances E.W.","Minnie's Sacrifice, Sowing and Reaping ,Trial and Triumph: Three Rediscovered Novels"
"Harris, Charlie A.",Whore-daughter
"Harris, Charlie A.",Macking Gangster
"Harris, Charlie A.",Black and Deadly
"Harris, Charlie A.",Broad Players
"Harris, Charlie A.",Con Man
"Harris, Charlie A.",Fast Track
"Harris, E. Lynn",Just Too Good to be True
"Harris, E. Lynn",Mama Dearest
"Harris, E. Lynn",Basketball Jones
"Harris, Elbert L",Killer of the City
"Harris, Elbert L",Sojourn in Persepolis: Xerxes after Salantis
"Harris, Elbert L.",The Athenian
"Harris, James",Endurance
"Harris, Langston O",This Magic Moment
"Harris, M. Virgina",Weddin' Trinunin's
"Harris, Randolph",The Black Connection
"Harris, Randolph",Trickshot: The Story of a Black Pimp
"Harris, Toni Staton",By Chance or Choice: A Novel
"Harrison, Rashad",Our Man in the Dark
"Hart, Marcus A.",The Lover With the Killer's Instinct: A Novel
"Haskins, Leroi Rossetti",The Weak Arm of Justice
"Haskins, Scott",Sasha's Way
"Hatch, John",Mississippi Swamp
"Hatch, John W.","Africa, Love"
"Hathorn, Christine",The Undoing of Miss Abigail Wrigley: A Country Mystery
"Hawkins, Odie",The Busting Out of an Ordinary Man
"Hawkins, Odie",Chili: Memoirs of a Black Casanova
"Hawkins, Odie",Chicago Hustle
"Hawkins, Odie",Scars and Memories
"Hawkins, Odie",My Friends
"Hawkins, Odie",Secret Music
"Hawkins, Odie",Life and Times of Chester L. Simmons
"Hawkins, Odie",Portrait of Simone
"Hawkins, Odie",Brazilian Nights
"Hawkins, Odie",Amazing Grace and Other States of Mind
"Hawkins, Odie",Conspiracy
"Hawkins, Odie",Lost Angeles
"Hawkins, Odie",Midnight
"Hawkins, Odie",Sweet Peter Deeder
"Hayes, Hunter",Shoe's on the Otha' Foot
"Hayes, Hunter",Shoes on the Otha' Foot: A Novel
"Hayes, Hunter",A Pair Like No Otha'
"Hayes, Lee",Passion Marks: A Novel
"Hayes, Lee",The First Male
"Haywood, Gar Anthony",Fear of the Dark
"Haywood, Gar Anthony",You Can Die Trying: An Aaron Gunner Mystery
"Haywood, Gar Anthony",Going Nowhere Fast
"Haywood, Gar Anthony",Bad News Travels Fast
"Haywood, Gar. Anthony",Not Long for This World: An Aaron Gunner Mystery
"Haywood, Gar. Anthony",It's Not a Pretty Sight: An Aaron Gunner Mystery
"Heard, Nathan C",When Shadows Fall
"Henderson, T. T.",Ambrosia
"Henderson, T. T.",Path of Fire
"Henderson, T. T.",Tattooed Tears
"Hendricks, Obery M.",Living Water: A Novel
"Henry, Bernard, Jr",For All We Know
"Henry, Williams S",Out of Wedlock
"Hernandez, Treasure",Return to Flint
"Hernandez, Treasure",Carl Weber's Kingpins: Dallas
"Herron, Carolivia",Thereafter Johnie
"Hickman, Trice",Deadly Satisfaction
"Hicks, Jonathon Michael",Never As Good As the First Time: Love a Second Time Arounf
"Hill, Donna",Rooms of the Heart
"Hill, Donna",Indescretions
"Hill, Donna",Temptation
"Hill, Donna",Scandalous
"Hill, Donna",Deception
"Hill, Donna",Intimate Betrayal
"Hill, Donna",Chances Are
"Hill, Donna",Charade
"Hill, Donna",A Private Affair
"Hill, Donna",Quiet Storm
"Hill, Donna",Interlude
"Hill, Donna",Pieces of Dreams
"Hill, Donna",Something to Celebrate
"Hill, Donna",If I Could
"Hill, Donna",A Scandalous Affair
"Hill, Donna",Soul to Soul
"Hill, Donna",Rhythms
"Hill, Donna",Through the Fire
"Hill, Donna",An Ordinary Woman
"Hill, Donna",In My Bedroom
"Hill, Donna and Francis Ray",Rockin’ Around That Christmas Tree
"Hill, Donna; Akers, Rochelle; and Candice Poarch",Tis the Season
"Hill, Ernest",Cry Me a River
"Hill, Lawrence",Some Great Thing
"Hill, Lawrence",Any Known Blood
"Hill, Mars",The Moaner's Bench: A Novel
"Hill, Shandra",Actions Speak Louder
"Himes, Chester B",For Love of Mabelle
"Himes, Chester B","Hot Day, Hot Night"
"Himes, Chester B",End of a Primiative
"Hobbs, Allison",Double Dippin': A Novel
"Hobbs, Sterling",Black Angels
"Hodges, George W.",Swamp Angel
"Hoffman, Ercell H.",The Acknowledgment
"Holman, Alice",The Last Days Murder List
"Holman, John",Triangle Ray: Stories
"Holmes, Bill",One Love
"Holmes, Butch",Black Rage
"Holmes, Shannon",Bad Girlz: A Novel
"Holmes, Shannon",The Game: Short Stories About the Life
"Holmes, Shannon",Dirty Game
"Holton, Hugh",Presumed Dead
"Holton, Hugh",Windy City
"Holton, Hugh",Chicago Blues
"Holton, Hugh",Violent Crimes
"Holton, Hugh",Red Lightning
"Holton, Hugh",Left Hand of God
"Holton, Hugh",Time of the Assassins
"Holton, Hugh",The Devil’s Shadow
"Holton, Hugh",Criminal Element
HoneyB,Single Husbands
"Hooks, Nathaniel",Town on Trial: A Novel of Racial Violence in a Southern Town
"Hopkins, Pauline E","Of One Blood: or, The Hidden Self"
"Hopkinson, Nalo",Midnight Robber
"Hopkinson, Nalo",Skin Folk
"Hopkinson, Nalo",The Salt Roads
"Hopkinson, Nalo",The New Moon's Arms
"Hopkinson, Nalo",The Chaos
"Hopkinson, Nalo",Sister Mine
"Horsman, Gallan","The Noose and the Spear: A Tale of Passion, Adventure and Violence"
"Howard, Brett",Memphis Blues
"Howel, Terry K.",Black Heritage
"Hudson-Smith, Linda",Desperate Deceptions
"Hudson-Smith, Linda",Ladies in Waiting
"Hudson-Smith, Linda",Top-Secret Rendezvous
"Huffman, Eugene H.",Now I Am Civilized
"Hughes, Althea Christina",Walking the Line: A Novel
"Hughes, langston",The Return of Simple
"Humphry, Lillie Muse",Aggie
"Hunter, Geri Spencer",The Summer of my Fifteenth Year
"Hunter, Heather; Valentine, Michelle",Insatiable: The Rise of a Porn Star
"Hunter, Helen",Magnificent White Men
"Hunter, Hermann L.",The Miracles of the Red Altar Cloth
"Hunter, Travis",Hearts of Men
"Hunter, Travis",Trouble Man: A Novel
"Hyman, Mark",The America That Killed King: A Synopsis
"Iceberg, Slim",Mama Black Widow
"Iweala, Uzodinma",Speak No Evil: A Novel
"Jackson, Blyden",Totem
"Jackson, Brenda",Tonight and Forever
"Jackson, Brenda",Whispered Promises
"Jackson, Brenda",Eternally Yours
"Jackson, Brenda",One Special Moment
"Jackson, Brenda",Fire and Desire
"Jackson, Brenda",Secret Love
"Jackson, Brenda",A Family Reunion
"Jackson, Brenda",Surrender
"Jackson, Brenda",Delaney’s Desert Sheikh
"Jackson, Brenda",Perfect Timing
"Jackson, Brenda",Ties That Bind
"Jackson, Brenda",The Best Man
"Jackson, Brenda",A Little Dare
"Jackson, Brenda",Perfect Fit
"Jackson, Brenda",The Savvy Sistahs
"Jackson, Brenda",Private Arrangements
"Jackson, Brenda",Possessed by Passion
"Jackson, Brenda",Forged in Desire
"Jackson, Brenda",Best Laid Plans
"Jackson, Brian Keith",The Queen of Harlem
"Jackson, Edwardo",Ever After: A Novel
"Jackson, Emma Lou",The Veil of Nancy
"Jackson, Jesse",The Sickest Don't Always Die The Quickest
"Jackson, Jesse",The Fourteenth Cadillac
"Jackson, K.M.",To Me I Wed
"Jackson, Lawrence P.",My Father's Name
"Jackson, Monica",Heart's Desire
"Jackson, Monica",Love's Celebration
"Jackson, Monica",A Magical Moment
"Jackson, Monica",Midnight Blue
"Jackson, Monica",Never Too Late for Love
"Jackson, Monicqa",The Look of Love
"Jackson, Renay",Shakey's Loose
"Jackson, Renay",Turf War
"Jackson, Renay",Peanut's Revenge
"Jackson, Rhodesia",Pecan Candy & Huck-a-Bucks
"Jackson, Rhodesia",Sweeter Than Candy
"Jackson, Sibyl Avery",Degree of Caution
"Jahannes, Ja A.",Big Man
"Jakes, T. D.",Cover Girls: A Novel
"James, Darius",Negrophobia: An Urban Parable: A Novel
"James, Edward Nubian",A Breath Away From Sleep
"Jarrette, Alfred Q",Beneath the Sky: A Novel of Love and Murder Among the Poor Whites and Negroesof the Deep South
"Jarry, Hawke",Black Schoolmaster
"Jasper, Kenji",Dakota Grand
"Jaye, Lola",Being Lara
"Jeffers, Lance",Witherspoon
"Jefferson, Roland S.",The Secret Below 103rd Street
"Jefferson, Roland S.",A Card for the Players
"Jefferson, Roland S.",559 to Damascus
"Jefferson, Sonia",13th Child
"Jefferson, Sonia",Cat Girl
"Jefferson, Xavier T.",Winterkill
"Jefferson, Xavier T.",Blessed are the Sleepy Ones
"Jeffries, J. M.",Cupid: The Bewildering Bequest
"Jeffries, J. M.",A Dangerous Love
"Jeffries, J. M.",Cupid: The Captivating Chauffeur
"Jeffries, J. M.",A Dangerous Deceptiion
"Jeffries, J. M.",Southern Comfort
"Jeffries, J.M.",Cupid: The Amorous Arrow
"Jenkins, Beverly",Night Song
"Jenkins, Beverly",Vivid
"Jenkins, Beverly",Topaz
"Jenkins, Beverly",Through the Storm
"Jenkins, Beverly",The Taming of Jessi Rose
"Jenkins, Beverly",Always and Forever
"Jenkins, Beverly",Before the Dawn
"Jenkins, Beverly",Belle and the Beau
"Jenkins, Beverly",A Chance at Love
"Jenkins, Beverly",Josephine and the Soldier
"Jenkins, Beverly",A Wish and a Prayer: A Blessings Novel
"Jenkins, Beverly",Forbidden
"Jenkins, Beverly",Breathless
"Jenkins, Beverly",Tempest
"Jenkins, Beverly",Indigo
"Jenkins, Deaderick Franklin",It Was Not My World: A Story in Black and White That's Different
"Jenkins, Deaderick Franklin",Letters to My Son
"Joe, Yolanda",Falling Leaves of Ivy
"Joe, Yolanda",The Hatwearer's Lesson
"Johnson III, Freddie Lee",A Man Finds His Way
"Johnson-Hodge, Margaret",A New Day
"Johnson-Hodge, Margaret",The Real Deal
"Johnson-Hodge, Margaret",Butterscotch Blues
"Johnson-Hodge, Margaret",Warm Hands
"Johnson-Hodge, Margaret",Some Sunday
"Johnson-Hodge, Margaret",True Lies
"Johnson, Amelia E.",Clarence and Corinne
"Johnson, Amelia E.",The Hazeley Family
"Johnson, Ann Sekora",A Mississippi Family
"Johnson, Charles",Soulcatcher and Other Stories: Twelve Powerful Tales About Slavery
"Johnson, Dana",Break Any Woman Down: Stories
"Johnson, Darlene",Dream in Color: A Novel
"Johnson, Deborah",The Secret of Magic
"Johnson, Doris",Night and Day
"Johnson, Doris",Night Secrets
"Johnson, Doris",White Lies
"Johnson, Doris",Heart of Stone
"Johnson, Doris",Just One Kiss
"Johnson, Doris",Precious Heart
"Johnson, Doris",Rhythms of Love
"Johnson, Eugene D.",Of Human Kindness
"Johnson, Evelyn Allen",Get The Show on the Road
"Johnson, Georgia",The Baby Who Knew Too Much
"Johnson, Guy",Echoes of a Distant Summer: A Novel
"Johnson, Henry T.",The Murder Link
"Johnson, Hubert E. and Loretta",Poppy
"Johnson, Keith Lee",Little Black Girl Lost
"Johnson, Mat",Hunting in Harlem: A Novel
"Johnson, Mat",Pym
"Johnson, Mat",Dark Rain: A New Orleans Story
"Johnson, R. M.",Father Found: A Novel
"Johnson, R. M.",The Million Dollar Deception
"Johnson, R. M.",Deceit and Devotion
"Johnson, Sadeqa",Second House from the Corner
"Johnson, Sadeqa",And Then There Was Me
"Johnson, Shawne",Getting Our Breath Back
"Jones, Edward P",The Known World
"Jones, Edward P.",All Aunt Hagar's Children
"Jones, Everett LeRoi*",The System of Dante's Hell
"Jones, Gregory S. and Gibran Tariq",The Root of all Evil
"Jones, Jesse",Midnight's Daughter
"Jones, Nettie",Fish Tales
"Jones, Patricia",Passing
"Jones, Patricia",Red on a Rose: A Novel
"Jones, Ralph H.",The Pepperpot Man
"Jones, Solomon",The Bridge
"Jones, Tayari",Leaving Atlanta
"Jones, Tayari",The Untelling
"Jones, Tayari",An American Marriage
"Jones, Yorke",The Climbers: A Story of Sunkissed Sweethearts
"Jones, Yorke","The Climbers, A Story of Sunkissed Sweethearts"
"Joseph, Fabiola",Niya: Rainbow Dreams
"Jossel, Joylynn M",Please Tell Me If The Grass is Greener
"Jossel, Joylynn M.",The Root of all Evil
Joy,Dollar Bill
Joy,Dollar Bill: A Novel
Kanko*,Dirtied Brown Leaves
"Kaye, M. M.",Trade Wind
"Kaye, Mavis",Who Killed Tiffany Jones?
"Kaye, Philips B",Taftlt: A Novel
"Keaton, Rina",Freedom Run
"Keene, John",Annotations
"Kelley, Norman",The Big Mango: A Novel
"Kenedy, Adrienne",Deadly Triplets: A Theatre Mystery and Journal
"Kennedy, Jay Richard",The Chairman
"Kennedy, Jay Richard","Prince Bart, A Novel of Our Modern Time"
"Kennerson, Martha",Be My Forever Bride
"Kerry, Dana",BUPP Stage VI: A Story of Black Yuppies
"Keyes, Christian",Dr. Feelgood
"Khalifa, H. Khalif",Too Black by Love?
"Killens, John Oliver",Slaves
"Killens, John Oliver",A Man Ain't Nothin' But a Man: The Adventures of John Henry
"Kimbro, Sharisse",Beyond the Broken
"Kincaid, Jamaica",Annie John
"Kincaid, Jamaica",Mr. Potter
"Kincaid, Jamaica",See Now Then
"King-Gamble, Marcia",Under Your Spell
"King-Gamble, Marcia",Jade
"King, Deja",Queen Bitch: Part 4
"King, Deja*",Bitch Reloaded
"King, Hiram",Manchado
"King, Hiram",High Prairie
"King, Hiram",Dark Trail
"King, Hiram",Broken Ranks
"Kirk, Paul S.",No Need to Cry
"Kitt, Sandra",All Good Things
"Kitt, Sandra",Way Home
"Kitt, Sandra",Love Everlasting
"Kitt, Sandra",Serenade
"Kitt, Sandra",Sincerely
"Kitt, Sandra",Suddenly
"Kitt, Sandra",Significant Others
"Kitt, Sandra",Adam & Eva
"Kitt, Sandra",Between Friends
"Kitt, Sandra",Family Affairs
"Kitt, Sandra",Close Encounters
"Knight, Dawn","Kismet: A Story of Love, Friendship, Obsession and Fate"
"Koiner, Richard B.",Jack Be Quick
"Kunjufu, Jawanza",Good Brothers Looking for Good Sisters
"Kunjufu, Jawanza",Good Brother Looking for Good Sisters
"Lacy, Ed",Room to Swing
"Lacy, Ed",Shakedown For Murder
"Lacy, Ed",In Black & Whitey
"LaHon, Vyola Therese",The Big Lie
"Lamar, Jake",If 6 Were 9: A Miitant Mystery
"Lamar, Jake",Rendezvous Eighteenth
"Lambright, Evelyn Slim",The Justus Girls
"LaMon, Jacqueline Jones",In the Arms of One Who Loves Me
"Larence, Anna",After Hours
"Larence, Anna",Secone Time Around
"Larence, Anna",Love Everlasting
"Lattany, Kristin",Breaking Away
"Lattany, Kristin Hunter",Kinfloks
"Laudat, Reon","Yesterday's Dreams, Tomorrow's Promises"
"Laudat, Reon",It’s a Love Thang
"Laudat, Reon",It’s in His Kiss
"LaValle, Victor",Big Machine
"Lawseon, Mattie M",From Colored Water 'til Now
"Leanne, Shelly",Joshua’s Bible: A Novel
"LeBlanc, Whitney",Blues in the Wind
"Lee, Annetta P.",Fragment in the Sand
"Lee, Darrien",All That and a Bag of Chips
"Lee, Darrien","Been There, Done That"
"Lee, Darrien",Talk to the Hand
"Lee, James F.",The Victims
"Lee, John M",Counter-Clockwise
"Lee, Toni",Duplicity
"Lee, Tonya Lewis and Anthony, Crystal McCrary",Gotham Diaries
"Lennox, Lisa",Crackhead II
"Lent, Jeffrey",In the Fall
"Leonard, Mack",Cover My Rear
"Leonard, Mack",From Love to Love
"Leonard, Mack",Another Front
"Lester, Julius",Catskill Morning
"Lester, Julius",Basketball Game
"Lester, Julius",Do Lord Remember Me
"Lewis, Alethia",A True Fairy Tale
"Lewis, Philip",Delicious
"Lewis, Ronald",The Last Junkie
"Lewis, Shelby",Sensation
"Lewis, Tanya Marie",The Cradle Robbers: Misdemeanor
"Lezan, Joyce",Spring Embrace
"Lezan, Joyce",Lover's Holiday
"Lezan, Joyce",Heartbeat
"Lezan, Joyce",Summer Blues
"Lindsay, Tony",One Dead Preacher
"Lindsay, Tony",One Dead Doctor
"Lipscomb, Ken",Duke Casanova
"Little, Benilde",The Itch: A Novel
"Louard, Janette McCarthy",Mama's Girls
"Louis, Cindi",Crazy Thing Called Love
"Louise, Kim",Destiny's Song
"Louise, Kim",A Touch Away
"Louise, Kim",Falling for You
"Louise, Kim",True Devotion
"Louise, Kim",The Glory of Love
"Love, D.C.",The Sheriff
"Love, Dorothy Elizabeth",Whispers in the Night
"Lovell, Glenville",Too Beautiful to Die: A Novel
"Lovely, Lutishia",Taking Care of Business
"Lubin, Arthur",Wampala On the Hudson
"Lubin, Gilbert",The Promised Land
"Lucas, Curtis","So Low, So Lonely"
"Lucas, Curtis",Lila
"Lucas, Robert",Below the Belt
"Luckett, Jacqueline E.",Searching for Tina Turner
"Lyons, Charles or Is Said",Street Justice
"Major, Devorah",An Open Weave
"Major, Marcus",Good Peoples
"Major, Marcus",4 Guys and Trouble
"Major, Marcus",A Man Most Worthy
"Mallette, Gloria",Weeping Willows Dance
"Mallory, Roosevelt",Radcliff #2: San Fransisco Vendetta
"Mallory, Roosevelt",Radcliff #3: Double Troube
"Mallory, Roosevelt",Radcliff: New Jersey Showdown
"Malone, Anika",10 Minutes Past Too Late
"Manees, Raynetta",All For Love
"Maness, Raynetta",WIshing on a Star
"Marlow, Lydia Y",A Life Apart
"Marshall, Paule",Reena and other stories
"Martin-Arnold, Edwina",Eve's Prescription
"Martin-Arnold, Edwina",Jolie’s Surrender
"Martin, Chester","He was Born, He Died, And He Lived"
"Martin, Chester",Middle Years
"Martin, Ralph",Skin Deep
"Martin, Reginald",Diysfuntction Junction: Short Stories
"Martin, Reginald",Everybody Knows What Time It Is: But Nobody Can Stop the Clocks
"Marttin, Paul",Cocoa Blades
"Mason, B.J.",The Jerusalem Freedom Manufacturing Co.
"Mason, Clifford",When Love Was Not Enough
"Mason, clifford",Jamaica Run
"Mason, Felicia",For the Love of You
"Mason, Felicia",Body & Soul
"Mason, Felicia",Seduction
"Mason, Felicia",Foolish Heart
"Mason, Felicia",Forbiden Heart
"Mason, Felicia",Man of the House
"Mason, Felicia",Forbidden Heart
"Mason, Felicia",Testimony
"Mason, Felicia",Sweet Accord
"Mason, J D.",The Real Mrs. Price
"Mason, J. D.",Somebody Pick Up My Pieces
"Mason, J.D.",One Day I Saw a Black King
"Massey, Brandon R.",Thunderland
"Massey, Brandon R.",Dark Corner
"Mathis, Greg",Street Judge
"Matthews, Ernest L.",Out of Bounds
"Maund, Alfred",The Big Boxcar
"May, Eric Charles",Bedrock Faith
"Mayfield, Julian",Nowhere Street
"Mays, Willie and Jeff Harris",Danger in Center Field
"McBride, James",Song Yet Sung
"McBride, James",The Good Lord Bird
"McCann, Timmothy B",Until
"McCann, Timmothy B.",Forever
"McCann, Timmothy B.",Always
"McCannon, Dindga",Peaches
"McClain-Watson, Teresa",Plenty GoodRoom
"McCluskey, John",Mr. America's Last Season Blues
"McCollors, Tia",A Heart of Devotion
"McDonald, Trevy A",Time Will Tell
"McDonald, Trevy Ann",Time Will Tell
"McFadden, Bernice L.",Gathering of Waters
"McFadden, Bernice L.",The Book of Harlan
"McFadden, Bernice L.",Sugar: A Novel
"McGlothin, Victor",In Spite Of: A Novel
"McGlothin, Victor",Autumn Leaves
"McGlothin, Victor",Autumn Leave: Love So Deep
"McGlothin, Victor",What's a Woman to Do?
"McGriff, Michelle",For Love's Sake
"McGriff, Michelle",Majestic Secret: A Romance Novel
"McGriff, Michelle",Rested Memories
"McGriff, Michelle",A Style of His Own
"McGriff, Michelle",Destiny's Song
"McKay, Claude",Amiable With Big Teeth
"McKenzie, William P.",The Solemn Hour
"McKinney-Whetstone, Diane",Tumbling
"McKinney-Whetstone, Diane",Tempest Rising
"McKinney-Whetstone, Diane",Blues Dancing
"McKinney-Whetstone, Diane",Lazaretto: A Novel
"McKinney, Meagan",My Wicked Enchantress
"McKnight, Reginald",I Get on the Bus: A Novel
"McKnight, Reginald",The Kind of Light That Shines on Texas: Stories
"McKnight, Reginald",White Boys: Stories
"McKnight, Reginald",He Sleeps
"McKnight, Sr, Anthony G.",Awtuhm Duv: A Bird and His Bees
"McLarin, Kim",Taming It Down
"McLaughlin, Rita",Every Friday Night: My Year of Dating Misadventures
"McMillan, Rosalyn",Knowing
"McMillan, Rosalyn",One Better
"McMillan, Rosalyn",Blue Collar Blues
"McMillan, Rosalyn",The Flip Side of Sin
"McMillan, Rosalyn",This Side of Eternity: A Novel
"McMillan, Terry",A Day Late and a Dollar Short
"McMillan, Terry",Getting to Happy
"McMillan, Terry",Who Asked You?
"McMillan, Terry",I Almost Forgot About You: A Novel
"McWhortle, A.C.",Lena
"Meaddough, R.J.",Retarded Genius
"Meadows, Lee E",Silent Conspiracy: A Lincoln Keller Mystery
"Meadows, Lee E.",Silent Suspicion: A Lincoln Keller Mystery
"Means-Willis, Emily",Looking for that Silver Spoon: A Novel
"Mello, Deborah Fletcher",Tuscan Heat
"Menchan, Angelia Vernon",Fifteen Years Delayed
"Mengestu, Dinaw",All Our Names
Miasha,Mommy's Angel
"Michaels, Cherlyn",Counting Raindrops Through a Stained Glass Window
"Mickelbury, Penny",Where to Choose: A Carole Ann Gibson Mystery
"Mickelbury, Penny",The Step Between
"Mickelbury, Penny",Paradise Interrupted
"Miller, Ezekial Harry",The Protestant
"Miller, Karen E. Quinones",Ida B.
"Miller, Karen E. Quinones",Satin Nights
"Millican, Arthenia Bates",A Deity Nodded
"Millner, Denene; and Nick Chiles",In Love and War: A Novel
"Mink, Meesha*",Real Wifeys: Get Money: An Urban Tale
"Mitchell, Loften",Stubborn Old Lady Who Resisted Change (The)
"Mitchell, Sharon",Nothing But The Rent
"Molare, Sydney",Somewhere in America: Situations of XX and XY
"Monroe, Mary",The Upper Room
"Monroe, Mary",God Don't Play
"Monroe, Mary",She Had it Coming
"Monroe, Mary",God Don't Make No Mistakes
"Monroe, Mary",Every Woman's Dream
"Monroe, Mary",Never Trust a Stranger
"Monroe, Mary",One House Over
"Montague, W. Reginald",Ole Man Moses
"Monteilh, Marissa",May December Souls: A Novel
"Monteilh, Marissa",The Chocolate Ship: A Novel
"Montgomery, Tiphani",The Millionaire Mistress
"Montgomery, Tiphani",Still a Mistress
"Moore, Chinelu",Dark Storm Rising
"Moore, Christopher and Pamela Johnson",Santa & Pete: A Novel of Christmas Present and Past
"Moore, Edward K.",The Supremes Sing the Happy Heartache Blues: A Novel
"Moore, Edward Kelsey",The Supremes at Earl's All-You-Can-Eat
"Moore, Marie Eslanda",Little White Shoes
"Moore, Michel",Say U Promise...Again
"Moore, Michel",Say U Promise
"Moore, Niyah",Thunderstorm: A Novel
"Moore, Stephanie Perry",Flame
"Moore, Stephanie Perry",Surrendered Heart
"Moore, Toi","Momma, Please Forgive Me"
"Moore, Yanier Blak",Triple Take: A Novel
"Morgan, Johnny",The Square Jungle
"Morris, Earl J",The Cop
"Morris, Gregory K",Zoon
"Morris, Gregory K",HNIC
"Morris, Monique W.",Too Beautiful for Words
"Morrison, Mary B.",Soul Mates Dissipate
"Morrison, Mary B.",He's Just a Friend
"Morrison, Mary B.",Sweeter Than Honey
"Morrison, Mary B.",Maneater
"Morrison, Toni",God Help the Child
"Morse, L.C.",Sundial
